"X8.Number.of.samples"	"X8.KL.divergence"
"731"	14620	0.000614310277734432
"732"	14640	0.000624909788274596
"733"	14660	0.000639926879797517
"734"	14680	0.000631603835369499
"735"	14700	0.000626066460661736
"736"	14720	0.000664576947884062
"737"	14740	0.000666191393670729
"738"	14760	0.000658508740881914
"739"	14780	0.000637813331921971
"740"	14800	0.000678487568974017
"741"	14820	0.000622345826692473
"742"	14840	0.000631701800285737
"743"	14860	0.000701472054287094
"744"	14880	0.000653143772535651
"745"	14900	0.000624968724770503
"746"	14920	0.000678214668695306
"747"	14940	0.000579268006800798
"748"	14960	0.000631023658759481
"749"	14980	0.000650246292815076
"750"	15000	0.000646343651567305
"751"	15020	0.000628425379889296
"752"	15040	0.000689266964374209
"753"	15060	0.000612571628720294
"754"	15080	0.000633603311488135
"755"	15100	0.00066066963644454
"756"	15120	0.000612229543982376
"757"	15140	0.000630911010088218
"758"	15160	0.000652725498615636
"759"	15180	0.000630307125619138
"760"	15200	0.000619840567165032
"761"	15220	0.000577557154766613
"762"	15240	0.00064762413489299
"763"	15260	0.000637941277361065
"764"	15280	0.000634539969715184
"765"	15300	0.000641088393368197
"766"	15320	0.000620470357312705
"767"	15340	0.000624706755108173
"768"	15360	0.000641242142645284
"769"	15380	0.00062868695505259
"770"	15400	0.000648591692069238
"771"	15420	0.00060796997724929
"772"	15440	0.000635313683801999
"773"	15460	0.000572734709941887
"774"	15480	0.000607125067093625
"775"	15500	0.000607992933710893
"776"	15520	0.000590137579431096
"777"	15540	0.000616115815533134
"778"	15560	0.000572632745483185
"779"	15580	0.000644695823467289
"780"	15600	0.000602154544405323
"781"	15620	0.00060279527044763
"782"	15640	0.000590363677668758
"783"	15660	0.000622316757979765
"784"	15680	0.000614984490689691
"785"	15700	0.000614480086854297
"786"	15720	0.000617234439894769
"787"	15740	0.000640872816683187
"788"	15760	0.000593656029699647
"789"	15780	0.0006109032483964
"790"	15800	0.000609822200580813
"791"	15820	0.000558700600667167
"792"	15840	0.000567268046784474
"793"	15860	0.00058918650252446
"794"	15880	0.000587372833758252
"795"	15900	0.000608592837243174
"796"	15920	0.000585871182839742
"797"	15940	0.000588678892945017
"798"	15960	0.000611354655877475
"799"	15980	0.000636742388236007
"800"	16000	0.000606973024565447
"801"	16020	0.000621781254348322
"802"	16040	0.000578223778976067
"803"	16060	0.000570823389636456
"804"	16080	0.000573446486765448
"805"	16100	0.000602195200926081
"806"	16120	0.000570338373696345
"807"	16140	0.000558788334652934
"808"	16160	0.000572342983209059
"809"	16180	0.000605693212902318
"810"	16200	0.000624244769770882
"811"	16220	0.000584395407012079
"812"	16240	0.000607679623949777
"813"	16260	0.000580443828679547
"814"	16280	0.000588159490662138
"815"	16300	0.000602291367286972
"816"	16320	0.00054882651804006
"817"	16340	0.000546593355294749
"818"	16360	0.000559503678619914
"819"	16380	0.000581739719493809
"820"	16400	0.000564667329829453
"821"	16420	0.000597173775760217
"822"	16440	0.000587841721170219
"823"	16460	0.000544421755446478
"824"	16480	0.000581730296522104
"825"	16500	0.000609971402935793
"826"	16520	0.000489912566282159
